Gamme de véhicules;2010  (g de CO2 / km);2011  (g de CO2 / km);2012  (g de CO2 / km);2013  (g de CO2 / km);2014  (g de CO2 / km);2015  (g de CO2 / km);2016  (g de CO2 / km);2017  (g de CO2 / km);2018  (g de CO2 / km);2019  (g de CO2 / km);2020  (g de CO2 / km);;;moyennes (g de CO2 / km )
ECONOMIQUE/INFERIEURE;121;119;115;106;105;101;100;100;102;101;82;;;104,7272727
MOY-INFER;133;128;123;117;113;110;109;111;111;111;99;;;115
MOY-SUPER;150;143;140;134;129;124;121;121;121;120;107;;;128,1818182
SUPERIEURE/LUXE;174;167;161;158;151;145;141;137;137;129;98;;;145,2727273
;;;;;;;;;;;;;;
Source : AAA;;;;;;;;;;;;;Moyenne coef 2/ coef 1 luxe;120,1558442
Exporté le : 28/03/2023 à 12:52:04;;;;;;;;;;;;;;
